"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.17296,-0.0026801,-0.088326,-6.3045,-9.5447e-06,-0.004923,20.389,1,1,0,0.5,-4.3961e-05,0
-0.11947,-0.0029586,-0.082833,-134.28,-2.1003e-05,-0.004957,20.524,1,1,0.01,0.5,0.0099565,0
-0.066023,-0.0032372,-0.077339,-262.25,-3.2505e-05,-0.004991,20.66,1,1,0.020001,0.5,0.019957,0
-0.052812,-0.0034624,-0.080569,-391.61,-4.0221e-05,-0.005133,21.434,1,1,0.030001,0.5,0.029957,0
-0.039758,-0.0036876,-0.083837,-520.97,-4.7946e-05,-0.0052754,22.211,1,1,0.040002,0.5,0.039958,0
0.0060738,-0.0038832,-0.081891,-141.36,-5.5275e-05,-0.0053101,24.004,1,1,0.050002,0.5,0.049958,0
0.080844,-0.0040527,-0.075338,687.99,-6.2256e-05,-0.0052496,26.697,1,1,0.060003,0.5,0.059959,0
0.15239,-0.0042305,-0.068471,1516.8,-6.941e-05,-0.0051828,29.507,1,1,0.070003,0.5,0.069959,0
0.021406,-0.0049196,-0.041777,2312.4,-8.6243e-05,-0.0047206,39.755,1,1,0.080004,0.5,0.07996,0
-0.10955,-0.0056093,-0.015085,3107.9,-0.00010315,-0.0042585,50.003,1,1,0.090004,0.5,0.08996,0
-0.24252,-0.0064978,-0.0021514,3315.2,-0.00012664,-0.0039664,69.108,1,1,0.1,0.5,0.09996,0
-0.37865,-0.0076916,-0.01039,2617.4,-0.00016032,-0.0039362,101.84,1,1,0.11,0.5,0.10996,0
-0.51482,-0.0088854,-0.018627,1919.7,-0.00019421,-0.003906,134.57,1,1,0.12001,0.5,0.11996,0
-0.40671,-0.0091255,-0.068744,1120.8,-0.00023091,-0.0053199,200.5,1,1,0.13001,0.5,0.12996,0
-0.26723,-0.0092409,-0.12422,309.07,-0.00026814,-0.0069183,270.66,1,1,0.14001,0.5,0.13996,0
-0.10775,-0.091774,-0.71583,67.699,-0.0002587,-0.0070695,357.77,0,1,0.15001,0.5,0.14996,0
0.059097,-0.2064,-1.5041,34.852,-0.0002322,-0.0066916,451.1,0,1,0.16001,0.5,0.15996,0
0.19837,-0.31929,-2.3125,1.968,-0.00020708,-0.0063222,539.28,0,1,0.17001,0.5,0.16996,0
0.15908,-0.40713,-3.2469,-31.113,-0.00019036,-0.006009,594.27,0,1,0.18001,0.5,0.17996,0
0.11974,-0.49437,-4.1815,-64.198,-0.00017369,-0.0056958,649.24,0,1,0.19001,0.5,0.18996,0
0.11219,-0.56124,-4.971,-91.091,-0.00015939,-0.0054094,675.83,0,1,0.20001,0.5,0.19996,0
0.13034,-0.61184,-5.6434,-112.98,-0.00014701,-0.0051446,679.51,0,1,0.21001,0.5,0.20997,0
0.1485,-0.66225,-6.3159,-134.87,-0.00013466,-0.0048798,683.18,0,1,0.22001,0.5,0.21997,0
0.1191,-0.68258,-6.7328,-156.84,-0.00012526,-0.0046536,672.77,0,1,0.23001,0.5,0.22997,0
0.088975,-0.70243,-7.146,-178.82,-0.00011592,-0.004428,662.16,0,1,0.24001,0.5,0.23997,0
0.078257,-0.70662,-7.5282,-203.27,-0.00010746,-0.0042162,651.67,0,1,0.25001,0.5,0.24997,0
0.093527,-0.68988,-7.8692,-231.06,-0.00010015,-0.0040227,641.32,0,1,0.26001,0.5,0.25997,0
0.10881,-0.67309,-8.2103,-258.85,-9.2845e-05,-0.0038293,630.97,0,1,0.27001,0.5,0.26997,0
0.090092,-0.62829,-8.5541,-286.7,-8.6864e-05,-0.0036593,618.24,0,1,0.28001,0.5,0.27997,0
0.066664,-0.57962,-8.8982,-314.57,-8.1071e-05,-0.0034925,605.17,0,1,0.29001,0.5,0.28997,0
0.055418,-0.51984,-9.2378,-336.57,-7.5662e-05,-0.0033333,590.24,0,1,0.30001,0.5,0.29997,0
0.068249,-0.43816,-9.5682,-346.99,-7.1001e-05,-0.0031888,571.64,0,1,0.31001,0.5,0.30997,0
0.081087,-0.3565,-9.8985,-357.41,-6.6344e-05,-0.0030444,553.04,0,1,0.32001,0.5,0.31997,0
0.068955,-0.27197,-10.213,-367.84,-6.2385e-05,-0.0029149,534.38,0,1,0.33001,0.5,0.32997,0
0.050558,-0.18673,-10.523,-378.28,-5.8603e-05,-0.0027892,515.72,0,1,0.34001,0.5,0.33997,0
0.039971,-0.10821,-10.834,-388.6,-5.5005e-05,-0.0026678,497.13,0,1,0.35002,0.5,0.34997,0
0.05075,-0.048018,-11.148,-398.61,-5.1904e-05,-0.0025579,478.78,0,1,0.36002,0.5,0.35997,0
0.061533,0.01217,-11.461,-408.62,-4.8805e-05,-0.002448,460.43,0,1,0.37002,0.5,0.36997,0
0.053534,0.06067,-11.787,-418.64,-4.6103e-05,-0.002348,442.66,0,1,0.38002,0.5,0.37997,0
