"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0040034,-0.079786,-14.976,-189.61,-1.2058e-06,-0.00020606,788.81,0,1,0.44002,0.5,0.43998,0
0.0024094,-0.059291,-15.288,-207.89,-1.1474e-06,-0.00019624,792.45,0,1,0.45002,0.5,0.44998,0
0.0034127,-0.032297,-15.589,-225.82,-1.0967e-06,-0.0001877,792.96,0,1,0.46002,0.5,0.45998,0
0.004416,-0.0053036,-15.889,-243.75,-1.0461e-06,-0.00017917,793.47,0,1,0.47002,0.5,0.46998,0
0.0043441,0.024984,-16.183,-261.69,-9.9877e-07,-0.00017119,792.45,0,1,0.48002,0.5,0.47998,0
0.0032611,0.05837,-16.472,-279.62,-9.5466e-07,-0.00016374,789.99,0,1,0.49002,0.5,0.48998,0
0.0022016,0.091828,-16.761,-297.54,-9.1062e-07,-0.00015631,787.5,0,1,0.50002,0.5,0.49998,0
0.0028414,0.13052,-17.035,-314.25,-8.7198e-07,-0.00014977,781.86,0,1,0.51002,0.5,0.50998,0
0.0034812,0.16921,-17.31,-330.97,-8.3335e-07,-0.00014323,776.23,0,1,0.52002,0.5,0.51998,0
0.0033589,0.20954,-17.575,-347.69,-7.9706e-07,-0.00013708,768.62,0,1,0.53002,0.5,0.52998,0
0.0025104,0.25143,-17.831,-364.41,-7.6302e-07,-0.0001313,759.14,0,1,0.54002,0.5,0.53998,0
0.0016768,0.29332,-18.086,-381.11,-7.2902e-07,-0.00012553,749.61,0,1,0.55002,0.5,0.54998,0
0.0022122,0.33519,-18.313,-395.23,-6.9883e-07,-0.0001204,736.08,0,1,0.56002,0.5,0.55998,0
0.0027476,0.37707,-18.54,-409.36,-6.6864e-07,-0.00011526,722.54,0,1,0.57003,0.5,0.56998,0
0.0026687,0.41684,-18.748,-423.48,-6.4011e-07,-0.0001104,707.54,0,1,0.58003,0.5,0.57998,0
0.0019985,0.45459,-18.938,-437.61,-6.1317e-07,-0.00010581,691.13,0,1,0.59003,0.5,0.58998,0
0.0013377,0.49226,-19.127,-451.7,-5.8626e-07,-0.00010122,674.71,0,1,0.60003,0.5,0.59998,0
0.0017834,0.52128,-19.263,-461.55,-5.6207e-07,-9.7085e-05,658.13,0,1,0.61003,0.5,0.60998,0
0.0022292,0.5503,-19.4,-471.4,-5.3788e-07,-9.295e-05,641.55,0,1,0.62003,0.5,0.61998,0
0.0021792,0.57237,-19.502,-481.24,-5.1488e-07,-8.9013e-05,625.88,0,1,0.63003,0.5,0.62998,0
0.0016482,0.58769,-19.57,-491.09,-4.9303e-07,-8.5269e-05,611.08,0,1,0.64003,0.5,0.63998,0
0.0011232,0.60291,-19.638,-500.91,-4.7119e-07,-8.1527e-05,596.26,0,1,0.65003,0.5,0.64998,0
0.0014911,0.60324,-19.627,-506.69,-4.5132e-07,-7.8115e-05,576.93,0,1,0.66003,0.5,0.65999,0
0.001859,0.60358,-19.616,-512.46,-4.3146e-07,-7.4704e-05,557.6,0,1,0.67003,0.5,0.66999,0
0.0018287,0.59401,-19.559,-518.24,-4.1244e-07,-7.1436e-05,539.01,0,1,0.68003,0.5,0.67999,0
0.0014096,0.57477,-19.457,-524.01,-3.9427e-07,-6.8309e-05,521.14,0,1,0.69003,0.5,0.68999,0
0.00099429,0.55542,-19.354,-529.68,-3.761e-07,-6.5183e-05,503.2,0,1,0.70003,0.5,0.69999,0
0.0012939,0.51411,-19.16,-514.99,-3.5937e-07,-6.2299e-05,469.99,0,1,0.71003,0.5,0.70999,0
0.0015936,0.4728,-18.966,-500.31,-3.4264e-07,-5.9415e-05,436.78,0,1,0.72003,0.5,0.71999,0
0.0015772,0.42357,-18.722,-485.62,-3.2653e-07,-5.6636e-05,407.64,0,1,0.73003,0.5,0.72999,0
0.0012507,0.36657,-18.43,-470.93,-3.1104e-07,-5.3961e-05,382.49,0,1,0.74003,0.5,0.73999,0
0.00092649,0.30954,-18.138,-456.26,-2.9555e-07,-5.1286e-05,357.36,0,1,0.75003,0.5,0.74999,0
0.0011655,0.24511,-17.759,-444.07,-2.811e-07,-4.8788e-05,336.52,0,1,0.76003,0.5,0.75999,0
0.0014045,0.18067,-17.38,-431.88,-2.6666e-07,-4.6291e-05,315.69,0,1,0.77003,0.5,0.76999,0
0.0013985,0.11518,-16.96,-419.7,-2.5266e-07,-4.3869e-05,296.29,0,1,0.78003,0.5,0.77999,0
0.0011509,0.048642,-16.5,-407.51,-2.3911e-07,-4.1523e-05,278.3,0,1,0.79003,0.5,0.78999,0
0.0009047,-0.017877,-16.04,-395.34,-2.2556e-07,-3.9178e-05,260.31,0,1,0.80004,0.5,0.79999,0
0.0010892,-0.078545,-15.505,-386.31,-2.1277e-07,-3.6961e-05,244.5,0,1,0.81004,0.5,0.80999,0
0.0012736,-0.13921,-14.971,-377.28,-1.9998e-07,-3.4743e-05,228.68,0,1,0.82004,0.5,0.81999,0
