"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.026088,0.026088,0.026088,0.026088,0.026088,0.026088,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.043
1,0.026056,0.026056,0.026056,0.026056,0.026056,0.026056,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.044
1,0.026019,0.026019,0.026019,0.026019,0.026019,0.026019,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.045
1,0.025982,0.025982,0.025982,0.025982,0.025982,0.025982,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.046
1,0.025944,0.025944,0.025944,0.025944,0.025944,0.025944,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.047
1,0.025905,0.025905,0.025905,0.025905,0.025905,0.025905,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.048
1,0.025862,0.025862,0.025862,0.025862,0.025862,0.025862,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.049
1,0.025814,0.025814,0.025814,0.025814,0.025814,0.025814,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.05
1,0.025759,0.025759,0.025759,0.025759,0.025759,0.025759,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.051
1,0.025699,0.025699,0.025699,0.025699,0.025699,0.025699,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.052
1,0.025631,0.025631,0.025631,0.025631,0.025631,0.025631,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.053
1,0.025559,0.025559,0.025559,0.025559,0.025559,0.025559,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.054
