"div","u","v","p","dx","dy","T","phase","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00033659,0.0047931,-1.3643,76.065,2.0388e-09,-1.2942e-05,47.101,0,1,0.42002,0.5,0.41997,0
0.00031692,0.0059255,-1.4191,83.087,1.9384e-09,-1.2343e-05,63.321,0,1,0.43002,0.5,0.42997,0
0.00022618,0.0044455,-1.4165,90.109,1.8458e-09,-1.1787e-05,86.852,0,1,0.44002,0.5,0.43998,0
0.00013526,0.0029695,-1.4137,97.152,1.7531e-09,-1.1231e-05,110.35,0,1,0.45002,0.5,0.44998,0
0.00019115,-0.0018194,-1.4462,87.414,1.6734e-09,-1.0748e-05,160.65,0,1,0.46002,0.5,0.45998,0
0.00024704,-0.0066083,-1.4786,77.677,1.5936e-09,-1.0264e-05,210.94,0,1,0.47002,0.5,0.46998,0
0.00024504,-0.0051348,-1.55,67.939,1.5192e-09,-9.8102e-06,281.93,0,1,0.48002,0.5,0.47998,0
0.00018486,0.0026328,-1.6605,58.201,1.4502e-09,-9.3869e-06,373.72,0,1,0.49002,0.5,0.48998,0
0.00012456,0.010415,-1.7711,48.464,1.3811e-09,-8.9634e-06,465.48,0,1,0.50002,0.5,0.49998,0
0.00016015,0.0063387,-1.8788,38.717,1.321e-09,-8.5908e-06,574.77,0,1,0.51002,0.5,0.50998,0
0.00019574,0.002262,-1.9866,28.97,1.2609e-09,-8.2181e-06,684.07,0,1,0.52002,0.5,0.51998,0
0.00018999,-6.4979e-05,-2.0321,19.224,1.2044e-09,-7.8668e-06,753.4,0,1,0.53002,0.5,0.52998,0
0.00014272,-0.00063341,-2.0149,9.4769,1.1517e-09,-7.537e-06,782.57,0,1,0.54002,0.5,0.53998,0
9.5345e-05,-0.0012032,-1.9978,-0.2678,1.099e-09,-7.2071e-06,811.78,0,1,0.55002,0.5,0.54998,0
0.00012508,-0.0007041,-1.9776,-11.699,1.0525e-09,-6.9134e-06,807.38,0,1,0.56002,0.5,0.55998,0
0.00015482,-0.00020504,-1.9573,-23.13,1.006e-09,-6.6196e-06,802.98,0,1,0.57003,0.5,0.56998,0
